"order","t"
"O1",24.0
"O2",21.0
"O3",21.0
"O4",48.0
"O5",24.0
"O6",21.0
"O7",15.0
"O8",24.0
"O9",24.0
"O10",24.0
"O11",15.0
"O12",12.0
"O13",12.0
"O14",21.0
"O15",18.0
"O16",18.0
"O17",30.0
"O18",21.0
"O19",21.0
"O20",18.0
"O21",15.0
"O22",36.0
"O23",24.0
"O24",9.0
"O25",24.0
"O26",15.0
"O27",21.0
"O28",18.0
"O29",15.0
"O30",15.0
"O31",36.0
"O32",18.0
"O33",15.0
"O34",15.0
"O35",12.0
"O36",18.0
"O37",18.0
"O38",18.0
"O39",15.0
"O40",30.0
"O41",15.0
"O42",15.0
"O43",18.0
"O44",15.0
"O45",24.0
"O46",15.0
"O47",15.0
"O48",21.0
"O49",15.0
"O50",24.0
"O51",24.0
"O52",15.0
"O53",30.0
"O54",15.0
"O55",9.0
"O56",21.0
"O57",21.0
"O58",15.0
"O59",15.0
"O60",24.0
"O61",15.0
"O62",15.0
"O63",12.0
"O64",12.0
"O65",30.0
"O66",42.0
"O67",18.0
"O68",30.0
"O69",27.0
"O70",30.0
"O71",15.0
"O72",21.0
"O73",18.0
"O74",12.0
"O75",21.0
"O76",24.0
"O77",15.0
"O78",24.0
"O79",24.0
"O80",30.0
"O81",21.0
"O82",21.0
"O83",21.0
"O84",21.0
"O85",33.0
"O86",27.0
"O87",21.0
"O88",21.0
"O89",21.0
"O90",21.0
"O91",27.0
"O92",21.0
"O93",30.0
"O94",30.0
"O95",21.0
"O96",27.0
"O97",24.0
"O98",24.0
"O99",27.0
"O100",24.0
"O101",24.0
"O102",24.0
"O103",27.0
"O104",42.0
"O105",24.0
"O106",27.0
"O107",24.0
"O108",24.0
"O109",24.0
"O110",24.0
"O111",30.0
"O112",24.0
"O113",24.0
"O114",24.0
"O115",24.0
"O116",24.0
"O117",27.0
"O118",24.0
"O119",27.0
"O120",27.0
"O121",27.0
"O122",27.0
"O123",27.0
"O124",30.0
"O125",39.0
"O126",39.0
"O127",39.0
"O128",42.0
"O129",39.0
"O130",39.0
"O131",39.0
"O132",42.0
"O133",45.0
"O134",42.0
"O135",45.0
"O136",45.0
"O137",45.0
"O138",45.0
"O139",45.0
"O140",45.0
"O141",45.0
"O142",48.0
"O143",45.0
"O144",48.0
"O145",48.0
"O146",48.0
"O147",48.0
"O148",48.0
"O149",42.0
"O150",42.0
"O151",42.0
"O152",42.0
"O153",45.0
"O154",42.0
"O155",42.0
"O156",42.0
"O157",45.0
"O158",45.0
"O159",45.0
"O160",48.0
"O161",45.0
"O162",45.0
"O163",48.0
"O164",48.0
"O165",48.0
"O166",48.0
"O167",48.0
"O168",48.0
"O169",48.0
"O170",48.0
"O171",42.0
"O172",48.0
"O173",45.0
"O174",45.0
"O175",48.0
"O176",45.0
"O177",45.0
"O178",45.0
"O179",45.0
"O180",48.0
"O181",48.0
"O182",48.0
"O183",48.0
