order,t
5a18701954208204570dcb8e,90
5a191ca682c9a804497b7d6d,120
5a1932ab059ac522ef987ea7,135
5a1950d504030050aed5ef38,90
5a19654811ae4222e93bcbb5,90
5a196870172b442ddd1d0881,105
5a197a76c988512deb672d77,45
5a197dd07c73c915f5797cc2,90
5a1986d282c9a804497b7da5,105
5a198afc82c9a804497b7da6,120
5a198cb07c73c915f5797cc5,105
5a198f20ae845313c72e2c17,105
5a198fae82c9a804497b7da7,75
5a19934fb884b12dc5b501ff,105
5a1993ec11ae4222e93bcbb7,75
5a1995b8b884b12dc5b50200,105
5a19964a99ec112dd1215e0e,90
5a1997ecb0da9122e35a920f,90
5a1999fe6aa4043eeb298b94,135
5a199aac99ec112dd1215e0f,105
5a199bb5c988512deb672d79,75
5a199bf5c988512deb672d7a,150
5a199c0b649dcd3edb29ed7a,90
5a199c0ec988512deb672d7b,120
5a199c3db884b12dc5b50201,120
5a199d6204030050aed5ef42,90
5a199ec16659b21626305b68,75
5a199f3f99ec112dd1215e10,60
5a19a0b8ae845313c72e2c18,15
5a19a1eec988512deb672db9,60
5a19a27104030050aed5ef44,120
5a19a29ec988512deb672dba,195
5a19a2cd99ec112dd1215e11,90
5a19a35482c9a804497b7da9,90
5a19a3a199ec112dd1215e12,105
5a19a48d99ec112dd1215e13,75
5a19a53311ae4222e93bcbb9,90
5a19a53c059ac522ef987f06,45
5a19a545c988512deb672dbb,255
5a19a549b0da9122e35a9242,120
5a19a75b649dcd3edb29ed7b,90
5a19a8f7b0da9122e35a9243,105
5a19a9106659b21626305bd8,45
5a19a915649dcd3edb29ed7d,120
5a19a91654208204570dcbc4,90
5a19a9b911ae4222e93bcbba,105
5a19a9e454208204570dcbc5,105
5a19aa006aa4043eeb298d0d,75
5a19aa72c988512deb672dbc,105
5a19aa917c73c915f5797cc6,90
5a19aaf06aa4043eeb298d0f,75
5a19ab057c73c915f5797cc7,90
5a19ab1b6659b21626305d0f,90
5a19ac1382c9a804497b7e3a,75
5a19ac3eb0da9122e35a9245,120
5a19ac52649dcd3edb29ed7f,120
5a19ac796e5403163f332bf8,105
5a19acd0172b442ddd1d0884,90
5a19acd9b884b12dc5b50203,90
5a19ae366659b21626305d11,120
5a19aed5ae845313c72e2d20,120
5a19aef2059ac522ef987f08,105
5a19aefe04030050aed5ef4a,75
5a19af076659b21626305d12,105
5a19af0c99ec112dd1215e15,90
5a19af6a11ae4222e93bcbbb,90
5a19afc9172b442ddd1d0885,90
5a19b0036e5403163f332bfa,75
5a19b03182c9a804497b7e3b,105
5a19b08fb0da9122e35a9247,90
5a19b0d604030050aed5ef4b,120
5a19b1edae845313c72e2d21,120
5a19b2b411ae4222e93bcbbc,195
5a19b2c5ae845313c72e2d22,90
5a19b2c8c988512deb672dc1,135
5a19b2e07c73c915f5797cca,120
5a19b2fb6e5403163f332bfc,90
5a19b3387c73c915f5797ccb,120
5a19b36204030050aed5ef4c,135
5a19b3b5b0da9122e35a9248,90
5a19b3d754208204570dcbc9,90
5a19b42882c9a804497b7e3f,90
5a19b46fb884b12dc5b50205,90
5a19b47b11ae4222e93bcbbf,90
5a19b4a6059ac522ef987f0c,210
5a19b4bc54208204570dcbca,90
5a19b4dd99ec112dd1215e18,105
5a19b4e6b0da9122e35a924a,105
5a19b5016e5403163f332bfd,105
5a19b51e172b442ddd1d0888,105
5a19b5c999ec112dd1215e1b,120
5a19b6226e5403163f332bfe,105
5a19b63711ae4222e93bcbc0,120
5a19b6386aa4043eeb298d12,120
5a19b6506aa4043eeb298d13,105
5a19b6b811ae4222e93bcbc1,105
5a19b6c6c988512deb672dc3,105
5a19b81282c9a804497b7e40,120
5a19b850b884b12dc5b50206,135
5a19b857c988512deb672dc4,105
5a19b87eae845313c72e2d26,120
5a19b884ae845313c72e2d27,120
5a19b8d399ec112dd1215e1d,120
5a19b8e36e5403163f332bff,135
5a19b92f7c73c915f5797cd0,120
5a19b93cb884b12dc5b50207,120
5a19b94b99ec112dd1215e1e,135
5a19b9746e5403163f332c02,135
5a19b9a2b0da9122e35a924c,135
5a19b9c46659b21626305d14,150
5a19ba3c7c73c915f5797cd1,135
5a19ba4799ec112dd1215e1f,150
5a19ba4c04030050aed5ef50,135
5a19ba4f82c9a804497b7e41,180
5a19ba4fc988512deb672dc6,165
5a19ba73059ac522ef987f11,135
5a19bab0c988512deb672dc7,135
5a19babc11ae4222e93bcbc3,135
5a19bafb7c73c915f5797cd2,135
5a19bb21059ac522ef987f12,135
5a19bb4054208204570dcbf4,135
5a19bb4cae845313c72e2d30,150
5a19bc3354208204570dcbf7,135
5a19bc4411ae4222e93bcbc4,150
5a19bc9d6659b21626305d16,150
5a19bcb304030050aed5ef52,150
5a19bcfc54208204570dcbf9,150
5a19bd2004030050aed5ef53,150
5a19bd466659b21626305d17,150
5a19bd91ae845313c72e2d31,150
5a19bdaf6659b21626305d19,150
5a19bdb854208204570dcbfa,150
5a19bdf26aa4043eeb298d1e,150
5a19be1204030050aed5ef54,150
5a19be4854208204570dcbfb,150
5a19be6682c9a804497b7e45,150
5a19bec46659b21626305d1a,165
5a19bef299ec112dd1215e22,150
5a19befd99ec112dd1215e23,150
5a19bf0ec988512deb672dde,150
5a19bf1811ae4222e93bcbc6,165
5a19bf3e54208204570dcbfc,150
5a19bf896e5403163f332c22,165
5a19bfbe6659b21626305d1b,165
5a19bfd0b0da9122e35a924f,165
5a19bfd7b0da9122e35a9250,165
5a19c03f6659b21626305d1c,180
5a19c0cdc988512deb672de0,180
5a19c0d399ec112dd1215e24,180
5a19c0d754208204570dcbfe,180
5a19c0deb884b12dc5b5020c,180
5a19c14db884b12dc5b5020e,180
5a19c17d99ec112dd1215e27,180
5a19c181172b442ddd1d08a7,180
5a19c1b7649dcd3edb29ed8a,180
5a19c1c67c73c915f5797cd6,180
5a19c1c7b884b12dc5b50210,180
5a19c20bc988512deb672de2,180
5a19c25011ae4222e93bcbc9,180
5a19c25404030050aed5ef5b,180
5a19c291649dcd3edb29ed8b,180
5a19c2ff7c73c915f5797cd7,180
5a19c30bb884b12dc5b50211,195
5a19c324c988512deb672de3,195
5a19c36a54208204570dcbff,195
5a19c3d2649dcd3edb29ed8c,195
5a19c403b884b12dc5b50213,195
5a19c41db884b12dc5b50214,195
5a19c45cae845313c72e2d32,195
5a19c495b884b12dc5b50216,195
5a19c51199ec112dd1215e28,195
5a19c56804030050aed5ef5d,195
5a19c5d66e5403163f332c24,210
5a19c5ebb0da9122e35a9251,210
5a19c62db884b12dc5b50217,195
5a19c66404030050aed5ef60,195
5a19c7bc059ac522ef987f1b,210
5a19c86eb0da9122e35a9252,210
5a19c8a8649dcd3edb29ed8d,210
5a19c8e4ae845313c72e2d33,195
5a19ca25b884b12dc5b50219,210
5a19ca6904030050aed5ef63,210
