D_bar,592154c454a00b21b809f5ad,592154ce2a17d821bca95123,592180352a17d821bca95141,59218b532a17d821bca9514c,592197a82a17d821bca95153,5921a1012a17d821bca95155,5921ae2d2a17d821bca95158,5921ae8f2a17d821bca95159,5921b02d2a17d821bca9515a,5921b66a2a17d821bca9515c,5921b8a7f315d421c066f616,5921bb8c2a17d821bca95160,5921bbea2a17d821bca95161,5921bd93f315d421c066f617,5921be022a17d821bca95162,5921be559559d121c272315e,5921be9c2a17d821bca95163,5921bf282a17d821bca95164,5921bfd82a17d821bca95165,5921c02cf315d421c066f618,5921c0472a17d821bca95167,5921c0f12a17d821bca95168,5921c1622a17d821bca95169,5921c2e9f315d421c066f619,5921c30b9559d121c2723160,5921c3919559d121c2723161,5921c3dc2a17d821bca9516b,5921c3fd2a17d821bca9516d,5921c4f52a17d821bca9516e,5921c5b3f315d421c066f61a,5921c5c82a17d821bca95171,5921c6b32a17d821bca95173,5921c6dff315d421c066f61b,5921c72f2a17d821bca95176,5921c73c2a17d821bca95177,5921c80c2a17d821bca95179,5921c8a0f315d421c066f61c,5921c92e2a17d821bca9517a,5921ca4b2a17d821bca9517b,5921cb3c9559d121c2723162,5921cb3e54a00b21b809f5b0,5921cb412a17d821bca9517e,5921cb842a17d821bca9517f,5921cb852a17d821bca95180,5921cbf8f315d421c066f61d,5921cc179559d121c2723163,5921cd0b2a17d821bca95181,5921cd432a17d821bca95182,5921cdfef315d421c066f61e,5921ce832a17d821bca95185,5921cec52a17d821bca95186,5921cee72a17d821bca95187,5921cef12a17d821bca95188,5921cf08f315d421c066f61f,5921cf0c9559d121c2723164,5921cf422a17d821bca95189,5921cf449559d121c2723165,5921cfc22a17d821bca9518b,5921cfc29559d121c2723166,5921cff82a17d821bca9518c,5921d04af315d421c066f620,5921d08a2a17d821bca9518e,5921d08c2a17d821bca9518f,5921d0a02a17d821bca95190,5921d0d82a17d821bca95191,5921d0ff2a17d821bca95192,5921d11e2a17d821bca95193,5921d17b2a17d821bca95197,5921d1822a17d821bca95198,5921d1992a17d821bca9519a,5921d2212a17d821bca9519b,5921d23c2a17d821bca9519c,5921d23df315d421c066f621,5921d2432a17d821bca9519d,5921d272f315d421c066f622,5921d342f315d421c066f623,5921d36e9559d121c2723167,5921d3789559d121c2723168,5921d37ef315d421c066f624,5921d37f9559d121c2723169,5921d3fd2a17d821bca951a0,5921d41c2a17d821bca951a2,5921d4239559d121c272316a,5921d462f315d421c066f626,5921d48d2a17d821bca951a3,5921d4d79559d121c272316b,5921d4eb2a17d821bca951a5,5921d4f9f315d421c066f627,5921d50054a00b21b809f5b1,5921d50e2a17d821bca951a6,5921d5262a17d821bca951a8,5921d5262a17d821bca951a9,5921d5a9f315d421c066f628,5921d5d7f315d421c066f62a,5921d5ea81b64321ba87b94d,5921d6039559d121c272316c,5921d6512a17d821bca951ac,5921d6bc2a17d821bca951af,5921d7002a17d821bca951b0,5921d7189559d121c272316d,5921d771f315d421c066f62c,5921d80af315d421c066f62e,5921d80e2a17d821bca951b6,5921d8392a17d821bca951b7,5921d86d9559d121c272316e,5921d899f315d421c066f62f,5921d8ae9559d121c272316f,5921d9872a17d821bca951b8,5921d9a42a17d821bca951b9,5921d9ac2a17d821bca951bb,5921d9e19559d121c2723171,5921da7a2a17d821bca951be,5921dac79559d121c2723172,5921dade2a17d821bca951bf,5921db0e2a17d821bca951c1,5921db672a17d821bca951c3,5921db742a17d821bca951c4,5921db942a17d821bca951c6,5921dbaf2a17d821bca951c7,5921dbb754a00b21b809f5b2,5921dc022a17d821bca951c8,5921dc1cf315d421c066f635,5921dc212a17d821bca951c9,5921dc312a17d821bca951ca,5921dc6d2a17d821bca951cc,5921dc772a17d821bca951cd,5921dceaf315d421c066f636,5921dd099559d121c2723174,5921dd0c2a17d821bca951ce,5921dd452a17d821bca951cf,5921dd6f2a17d821bca951d0,5921ddb5f315d421c066f637,5921ddf52a17d821bca951d1,5921de1bf315d421c066f638,5921de3a9559d121c2723175,5921de412a17d821bca951d2,5921de4ff315d421c066f63a,5921de902a17d821bca951d3,5921ded12a17d821bca951d5,5921e3e29559d121c2723176,5921e4ee2a17d821bca951dc,5921e4f8f315d421c066f63b,5921e5032a17d821bca951dd,5921e51a9559d121c2723177,5921e5692a17d821bca951de,5921e5882a17d821bca951df,5921e5df2a17d821bca951e0,5921e5ec2a17d821bca951e1,5921e6462a17d821bca951e2,5921e6aa2a17d821bca951e4,5921e6f254a00b21b809f5b5,5921e6f79559d121c2723179,5921e74bf315d421c066f63e,5921e75a2a17d821bca951e8,5921e77af315d421c066f63f,5921e782f315d421c066f640,5921e8512a17d821bca951ec,5921e8969559d121c272317a,5921e89c2a17d821bca951ed,5921e9462a17d821bca951ef,5921e9829559d121c272317b,5921e9f42a17d821bca951f1,5921ea022a17d821bca951f3,5921ea192a17d821bca951f4,5921eaa254a00b21b809f5b6,5921eb6af315d421c066f642,5921ec152a17d821bca951f9,5921ed602a17d821bca951fa,5921eeb32a17d821bca951fb,5921eeb42a17d821bca951fc,5921f0412a17d821bca951fd,5921f1762a17d821bca951ff,5921f2212a17d821bca95200,5921f2592a17d821bca95201,5921f335f315d421c066f644
592154c454a00b21b809f5ad,0,18,26,24,11,20,26,30,41,24,19,25,15,42,24,13,30,17,29,26,20,49,24,15,30,31,19,34,25,13,11,30,18,30,35,27,12,6,16,39,33,20,11,26,17,17,34,20,27,27,38,29,13,16,36,39,16,42,19,17,34,31,20,29,20,31,26,15,22,26,21,35,33,26,21,32,29,19,29,30,19,32,11,30,24,28,22,13,35,44,30,20,29,20,9,17,34,25,35,25,27,26,21,17,25,24,27,12,29,16,21,14,24,36,5,10,33,26,29,22,27,27,27,27,32,23,12,12,33,28,12,11,27,35,28,37,22,32,27,10,25,22,9,24,19,10,12,29,17,17,22,26,29,12,40,23,17,26,8,26,23,17,17,17,27,22,33,26,24,14,25,28,34,19,27
592154ce2a17d821bca95123,17,0,27,24,11,21,27,30,42,25,20,25,14,43,25,14,30,17,30,26,20,50,24,16,31,32,20,34,26,14,12,31,18,30,36,28,11,6,17,40,33,21,11,26,18,18,34,21,28,28,39,30,14,17,36,39,17,43,20,18,34,32,20,30,21,31,27,16,23,26,21,36,33,26,21,33,30,20,30,30,19,33,11,30,25,29,22,14,36,45,30,21,30,21,10,18,35,26,36,26,28,26,22,18,26,24,28,11,30,17,22,15,24,37,6,10,34,26,30,23,28,28,28,28,33,24,12,13,33,28,13,12,27,35,28,38,23,33,28,10,25,22,10,25,20,9,12,30,18,17,23,27,30,13,41,24,18,27,9,27,23,18,18,18,28,23,34,27,25,14,25,28,34,19,27
592180352a17d821bca95141,25,26,0,14,28,31,10,9,26,26,16,16,39,18,20,22,34,30,35,34,19,32,17,24,20,21,10,21,29,20,29,23,26,35,27,6,36,30,26,26,12,16,26,12,11,12,22,25,18,6,17,8,17,19,22,24,27,25,12,22,18,32,18,20,14,9,5,18,25,28,19,20,36,36,19,11,13,20,14,31,36,18,33,18,3,7,13,14,15,24,31,21,33,9,17,20,14,19,14,4,12,5,22,28,16,26,13,35,23,22,17,20,30,15,21,27,26,7,8,13,14,14,14,14,18,28,23,18,12,7,26,21,20,13,14,16,13,11,11,27,10,11,20,8,16,33,20,20,23,20,13,18,20,29,24,7,15,35,23,5,17,20,20,20,27,27,27,10,8,15,9,14,20,22,11
59218b532a17d821bca9514c,19,19,17,0,20,18,17,20,35,29,12,21,29,33,19,15,36,18,22,28,21,44,18,17,16,17,8,30,22,12,21,24,19,36,31,18,26,21,20,35,24,11,20,22,12,6,25,18,16,18,30,20,9,12,31,33,14,38,13,15,27,24,19,16,6,22,17,11,19,30,20,29,39,29,20,23,23,13,23,34,28,26,21,21,15,19,9,6,22,37,34,8,26,12,10,15,27,24,26,16,21,16,15,15,13,28,23,26,26,14,11,12,16,27,12,19,29,17,20,16,23,20,23,23,26,20,18,10,25,19,14,7,25,21,23,24,9,23,19,19,17,8,7,17,12,24,13,18,15,13,11,13,18,22,33,15,10,28,14,17,21,15,15,15,14,20,30,20,18,8,18,23,29,17,20
592197a82a17d821bca95153,16,18,26,22,0,17,25,29,41,26,18,25,18,41,23,13,32,14,26,26,21,49,23,15,28,29,18,34,25,13,13,29,18,32,35,27,15,9,17,39,32,19,13,26,17,16,33,19,26,26,38,28,12,15,36,38,14,43,18,16,34,30,20,27,18,30,25,14,21,28,21,35,35,26,21,31,29,18,29,32,20,32,9,29,24,27,20,11,34,44,32,18,29,19,9,17,34,26,34,25,27,25,20,15,24,26,27,15,29,15,20,13,21,36,5,12,33,25,28,22,27,27,27,27,32,22,13,11,32,27,10,9,27,33,28,35,20,31,26,12,24,20,7,24,18,13,11,28,17,16,21,24,28,14,40,23,16,26,8,26,23,17,17,17,25,21,33,26,24,12,24,28,34,18,26
5921a1012a17d821bca95155,25,26,22,17,26,0,23,25,40,36,18,27,35,36,25,22,43,23,19,35,28,49,25,24,11,12,13,36,29,19,27,31,26,43,38,23,32,26,27,41,28,17,26,28,18,12,30,25,21,22,34,25,15,19,37,38,20,43,20,22,33,31,26,21,11,27,21,18,26,37,27,34,46,36,27,27,28,20,29,41,35,32,26,26,20,24,14,13,23,42,41,10,33,18,17,22,31,30,30,21,27,21,22,20,18,35,29,32,32,21,18,19,13,32,18,26,35,22,24,22,29,26,29,29,32,27,25,17,30,23,19,12,32,23,29,25,14,27,24,26,22,12,12,23,19,30,20,23,22,20,16,18,23,28,39,20,17,35,21,22,28,22,22,22,16,27,37,25,23,15,23,29,35,24,26
5921ae2d2a17d821bca95158,23,24,8,11,26,27,0,11,28,27,14,17,36,22,18,20,34,27,31,32,19,36,16,22,17,18,7,23,26,18,27,22,24,35,28,9,34,28,24,28,14,13,24,15,10,9,20,23,15,9,20,11,14,17,25,26,24,29,11,20,20,29,18,16,10,13,7,16,23,29,19,22,37,34,19,14,15,18,16,32,34,20,30,16,6,10,9,11,14,28,32,17,30,8,15,18,18,20,17,7,14,7,19,25,12,27,16,33,23,19,13,17,26,18,18,25,26,9,10,12,16,14,16,16,20,26,22,15,16,9,23,17,21,13,17,15,10,13,12,25,10,7,17,10,14,31,18,17,20,17,10,14,17,27,26,8,12,32,21,8,18,18,18,18,23,25,27,12,10,12,11,17,22,20,13
5921ae8f2a17d821bca95159,24,24,9,19,26,32,11,0,21,18,17,11,36,21,19,20,26,31,40,32,12,26,16,22,28,29,14,12,28,20,26,22,24,27,22,10,33,27,24,18,15,18,22,4,9,16,24,25,22,9,18,12,18,19,14,18,29,20,11,22,14,33,13,25,18,10,8,18,25,20,15,15,28,33,15,14,7,21,9,23,34,12,33,20,7,11,18,15,24,21,23,26,32,10,16,19,11,11,17,8,7,8,23,29,20,18,5,33,19,21,19,20,34,19,19,25,23,10,11,11,5,13,5,5,12,28,20,18,9,10,27,22,13,22,6,24,18,14,11,25,10,16,21,4,17,31,18,24,23,20,17,22,24,27,20,9,16,33,22,9,11,18,18,18,32,27,23,6,4,16,4,6,12,20,7
5921b02d2a17d821bca9515a,41,42,20,31,43,47,25,23,0,34,32,30,54,27,35,37,43,47,51,50,31,28,32,39,31,33,26,30,45,36,44,38,42,45,40,21,51,45,41,35,26,32,40,20,26,29,38,41,34,21,28,23,33,35,30,36,44,22,28,38,30,48,32,36,29,20,19,34,41,38,33,32,45,51,33,25,23,37,26,40,52,30,49,34,18,22,29,30,27,28,40,37,49,25,33,36,17,30,29,19,24,19,38,44,32,36,21,51,37,38,33,36,46,30,36,43,40,23,22,28,23,29,23,23,30,44,38,34,16,21,42,37,31,24,21,27,30,25,25,43,25,27,36,20,32,49,36,37,39,36,30,34,37,45,36,23,31,50,39,20,30,35,35,35,43,43,41,23,21,31,21,23,27,37,23
5921b66a2a17d821bca9515c,28,29,26,32,26,39,27,29,38,0,27,23,34,39,29,25,10,36,49,37,13,33,27,27,43,44,27,25,36,26,27,33,29,13,33,27,31,25,27,30,32,30,20,16,20,28,38,32,35,26,35,29,26,27,27,35,35,26,22,29,30,42,19,38,31,28,25,26,33,8,20,32,12,36,20,31,24,30,25,7,34,28,35,34,24,28,31,24,40,36,7,36,40,24,21,26,26,17,34,25,23,25,32,36,34,6,17,31,30,28,30,27,44,36,22,25,33,26,28,24,18,28,18,18,28,35,20,25,25,27,32,30,19,39,18,41,31,31,27,25,25,30,28,20,27,29,23,38,30,27,31,35,38,27,36,24,26,38,25,26,18,25,25,25,43,34,33,23,21,25,21,19,23,27,23
