D_bar,5a0ebeddfdc81513a9dcf33d,5a0ee1c397e0bc4831663486,5a0eeec3ae845313c72e280a,5a0ef92e0525bc484398d1f8,5a0eff8948c5984825e18bba,5a0f05b3bcb30313c1318d8e,5a0f0c5348c5984825e18bbb,5a0f0e693feafb4f684d1abb,5a0f100fe691ef1af5572637,5a0f12dc0525bc484398d1fb,5a0f14601c156e483dc740c8,5a0f169bc31f3448494eb6f7,5a0f178632516b13bbf49e3f,5a0f17acd6c58c139daa8a50,5a0f187c1c067a1ae7e6733c,5a0f192a48c5984825e18bca,5a0f19b9d6c58c139daa8a51,5a0f1aa832516b13bbf49e41,5a0f1ae71c067a1ae7e6733d,5a0f1af0fdc81513a9dcf349,5a0f1b04bcb30313c1318d90,5a0f1bcb48c5984825e18bcc,5a0f1c2a0525bc484398d1fc,5a0f1c61fdc81513a9dcf34a,5a0f1c8348c5984825e18bcd,5a0f1cabbcb30313c1318d91,5a0f1e361c067a1ae7e6733e,5a0f1edc1c156e483dc740c9,5a0f1fcd1c067a1ae7e6733f,5a0f202bc31f3448494eb6f9,5a0f215be691ef1af5572639,5a0f21641c156e483dc740ca,5a0f21686d59381b0f22075a,5a0f216e6d59381b0f22075b,5a0f21990525bc484398d1fd,5a0f225c5c4f9a48378c2db3,5a0f22912c520b484f1b87fc,5a0f22c93feafb4f684d1ac1,5a0f2391ae845313c72e2811,5a0f24065c4f9a48378c2db4,5a0f241432516b13bbf49e42,5a0f24a097e0bc483166348f,5a0f25093feafb4f684d1ac2,5a0f2514e691ef1af557263b,5a0f259a0525bc484398d200,5a0f25eb32516b13bbf49e44,5a0f25efbcb30313c1318d97,5a0f2610d6c58c139daa8a53,5a0f2681e691ef1af557263c,5a0f269a48c5984825e18bd0,5a0f26cb3feafb4f684d1ac7,5a0f270efdc81513a9dcf34c,5a0f274f97e0bc4831663490,5a0f2755e691ef1af557263e,5a0f27bdbcb30313c1318d9a,5a0f27efe691ef1af557263f,5a0f283332516b13bbf49e45,5a0f2857fdc81513a9dcf34d,5a0f2895ae845313c72e2812,5a0f2897e691ef1af5572640,5a0f292148c5984825e18bd1,5a0f29330525bc484398d202,5a0f29b50525bc484398d204,5a0f29b697e0bc4831663491,5a0f29b80525bc484398d205,5a0f2a3cd6c58c139daa8a54,5a0f2a521c156e483dc740cc,5a0f2a882c520b484f1b87ff,5a0f2b071c067a1ae7e67341,5a0f2b2448c5984825e18bd4,5a0f2b636d59381b0f22075c,5a0f2b73d6c58c139daa8a56,5a0f2ba56d59381b0f22075d,5a0f2ba71c156e483dc740cd,5a0f2bd1fdc81513a9dcf34f,5a0f2c131c156e483dc740ce,5a0f2c42e691ef1af5572643,5a0f2c4397e0bc4831663492,5a0f2c4a97e0bc4831663493,5a0f2c8dbcb30313c1318d9e,5a0f2c8e97e0bc4831663495,5a0f2cdcd6c58c139daa8a57,5a0f2d141c067a1ae7e67343,5a0f2d4c5c4f9a48378c2db7,5a0f2d811c156e483dc740cf,5a0f2da4ae845313c72e2816,5a0f2dcfae845313c72e2817,5a0f2dfee691ef1af5572645,5a0f2e3497e0bc4831663497,5a0f2e4f3feafb4f684d1aca,5a0f2e83bcb30313c1318d9f,5a0f2f075c4f9a48378c2db9,5a0f2f15bcb30313c1318da0,5a0f2f2f32516b13bbf49e49,5a0f2f491c067a1ae7e67344,5a0f2f4b0525bc484398d207,5a0f2f602c520b484f1b8801,5a0f3089e691ef1af5572648,5a0f308ee691ef1af5572649,5a0f30adae845313c72e281c,5a0f30c33feafb4f684d1acd,5a0f30d1e691ef1af557264b,5a0f30df0525bc484398d208,5a0f3106ae845313c72e281d,5a0f314aae845313c72e281e,5a0f3161ae845313c72e281f,5a0f316bc31f3448494eb6fe,5a0f3195e691ef1af557264c,5a0f320e5c4f9a48378c2dba,5a0f322eeca4fc22e027a312,5a0f331cae845313c72e2821,5a0f33b299ec112dd1215692,5a0f33b293984022d41562d0,5a0f33dbb0da9122e35a8d45,5a0f33e40525bc484398d209,5a0f33fda7e49c22d705f640,5a0f3400b546e022c2fa61d6,5a0f3442eca4fc22e027a313,5a0f344e059ac522ef987c4d,5a0f350e17153722f5634d3c,5a0f3512b884b12dc5b4fbcb,5a0f3532d442ff22bc769147,5a0f354fae845313c72e2822,5a0f35fca7e49c22d705f641,5a0f368b172b442ddd1d05ea,5a0f36d6172b442ddd1d05eb,5a0f371ae691ef1af557264f,5a0f379b51fd882301b6d13c,5a0f37ca51fd882301b6d13d,5a0f3830059ac522ef987c4f,5a0f383332516b13bbf49e4d,5a0f38b4ae845313c72e2823,5a0f3931c988512deb672b83,5a0f39c817153722f5634d3d,5a0f3a584b4fc722fbe1c726,5a0f3a94172b442ddd1d05ed,5a0f3b5db884b12dc5b4fbcc,5a0f3ba9a7e49c22d705f646,5a0f3bad51fd882301b6d13e,5a0f3c3f172b442ddd1d05ee,5a0f3cbdae845313c72e2826,5a0f3d2b99ec112dd1215696,5a0f3d4c99ec112dd1215697,5a0f3d5a172b442ddd1d05ef,5a0f3d7bc988512deb672b87,5a0f3d9b4b4fc722fbe1c727,5a0f3e4bc988512deb672b89,5a0f3e7432516b13bbf49e52,5a0f3e8251fd882301b6d140,5a0f3e8e51fd882301b6d141,5a0f3e8e4b4fc722fbe1c728,5a0f3ec3e691ef1af5572653,5a0f3ed417153722f5634d40,5a0f3f1cf160552db93e65b4,5a0f3f62a7e49c22d705f649,5a0f3f7d4b4fc722fbe1c72b,5a0f3fd0ae845313c72e2827,5a0f4029172b442ddd1d05f1,5a0f40b4c988512deb672b8b,5a0f40bc17153722f5634d41,5a0f40c7c988512deb672b8c,5a0f4107f160552db93e65b5,5a0f41e9f160552db93e65b6,5a0f421b32516b13bbf49e54,5a0f423c172b442ddd1d05f2,5a0f433d32516b13bbf49ea9,5a0f437232516b13bbf49eaa,5a0f439517153722f5634d42,5a0f44d832516b13bbf49eab,5a0f44dd51fd882301b6d147,5a0f4653ae845313c72e282a,5a0f4694f160552db93e65b9,5a0f47f1b884b12dc5b4fbcf,5a0f482bb0da9122e35a8d4a,5a0f486d11ae4222e93bc463,5a0f489a263abd22dd1e3aec,5a0f49bba7e49c22d705f681,5a0f4e10ae845313c72e282e,5a0f4ef1263abd22dd1e3af2
5a0ebeddfdc81513a9dcf33d,0,21,29,27,30,23,29,34,13,14,16,10,13,23,25,16,27,11,28,13,28,32,18,26,32,20,31,14,16,27,17,32,21,21,37,16,7,23,16,18,26,17,16,32,12,14,10,17,19,8,13,21,28,22,30,18,28,14,29,14,17,25,9,14,19,11,25,19,20,18,15,21,34,18,10,22,14,14,19,18,24,14,39,8,38,16,18,12,28,22,18,18,15,30,11,19,11,13,35,13,24,20,31,17,11,24,17,25,17,15,15,23,18,20,17,18,30,13,3,15,6,10,9,19,17,17,8,17,13,18,4,10,13,22,15,34,35,10,14,19,13,21,12,15,14,18,30,15,26,19,18,23,24,19,16,19,16,13,20,18,33,13,20,17,7,12,7,32,15,15,13,12,26,24,27,11,12,15,21
5a0ee1c397e0bc4831663486,25,0,28,29,23,17,42,15,13,14,13,19,26,5,31,11,26,24,17,27,18,31,23,23,14,36,30,8,29,25,17,15,27,20,43,9,24,36,34,11,34,28,10,18,27,11,28,16,5,24,24,30,28,16,42,12,10,20,23,15,21,30,27,19,32,13,28,17,32,15,18,33,19,23,14,28,27,33,24,17,37,24,28,26,51,13,17,13,13,33,26,29,10,31,29,17,30,31,49,31,12,19,37,17,25,36,29,37,35,35,26,8,12,29,16,3,10,26,21,21,24,23,15,26,11,28,23,25,13,3,24,30,12,13,33,15,24,23,14,17,32,20,21,10,11,3,35,10,23,39,23,26,29,4,29,31,25,33,25,25,22,32,16,28,18,28,27,29,15,34,31,30,38,28,18,11,22,35,6
5a0eeec3ae845313c72e280a,38,29,0,17,38,31,15,42,22,23,17,21,14,29,39,24,36,9,27,24,26,42,23,19,41,35,40,22,14,39,15,41,22,31,23,24,21,21,19,29,36,2,24,37,25,25,24,25,25,22,15,35,27,30,16,26,36,20,37,24,9,18,16,19,6,20,23,26,6,29,17,7,42,11,14,37,12,26,13,26,22,29,36,22,24,27,27,22,36,7,14,30,24,43,22,19,23,18,22,17,32,29,38,26,9,17,3,10,21,22,18,31,26,14,17,26,35,11,18,22,10,8,20,15,18,31,22,11,22,26,18,24,23,22,18,42,33,8,17,22,25,19,14,24,26,27,23,24,35,24,11,13,18,27,14,5,30,22,13,14,31,18,32,3,19,25,22,25,28,26,24,16,12,25,34,20,26,22,29
5a0ef92e0525bc484398d1f8,44,32,28,0,42,36,25,44,28,29,19,28,23,31,48,29,41,18,23,32,22,48,29,14,43,44,46,27,23,45,15,44,28,36,14,28,31,30,30,34,43,11,29,40,34,31,34,30,27,32,23,44,28,35,20,31,39,27,42,29,10,20,26,25,15,26,26,31,14,35,21,15,45,13,20,45,21,36,14,31,31,37,32,32,28,33,33,27,39,16,20,38,28,50,33,21,33,28,31,28,36,35,44,32,18,26,11,21,31,33,25,34,31,20,19,30,35,20,27,28,20,17,27,20,19,40,31,17,28,29,28,34,28,22,29,44,29,17,21,24,35,21,21,28,32,30,25,28,41,35,13,6,19,31,23,13,39,33,14,19,27,29,39,11,27,34,31,20,34,37,35,26,18,29,38,26,35,33,33
5a0eff8948c5984825e18bba,38,20,25,20,0,28,39,28,22,23,13,26,28,17,43,21,35,24,2,33,5,41,27,13,28,44,39,18,30,38,13,29,28,30,33,20,32,36,36,24,41,24,20,27,34,23,36,23,15,32,27,41,25,26,38,22,24,25,33,23,16,25,31,23,29,21,26,25,28,27,19,29,33,18,18,41,28,40,19,24,37,34,13,33,46,25,26,21,27,29,25,37,20,43,37,16,37,34,46,34,25,28,42,26,25,35,25,34,38,39,28,22,22,28,15,17,18,27,28,26,26,24,24,24,11,38,31,23,22,17,30,36,22,10,35,29,9,24,16,19,39,17,23,20,24,17,30,20,33,43,18,17,24,18,29,27,36,38,20,23,7,36,30,25,25,35,33,19,28,41,39,33,34,28,28,20,33,39,20
5a0f05b3bcb30313c1318d8e,28,17,17,17,26,0,28,30,12,13,5,13,13,17,33,13,25,10,18,18,17,31,13,15,29,30,30,11,15,29,6,29,13,20,30,13,18,22,21,18,28,13,13,25,20,15,21,14,13,18,12,28,17,19,28,15,24,11,26,13,8,16,15,9,18,10,14,15,17,19,5,18,30,9,4,30,13,26,10,15,23,22,28,19,36,17,17,11,24,18,12,23,12,34,22,8,23,19,34,19,21,19,28,15,11,22,14,22,23,24,13,19,15,15,6,14,23,12,14,12,11,9,11,11,7,25,17,11,12,14,15,22,12,11,20,30,24,9,5,10,25,9,8,12,15,15,21,12,24,28,9,14,15,15,15,16,24,23,12,11,22,21,23,14,12,20,18,21,18,26,24,18,24,13,22,9,20,24,17
5a0f0c5348c5984825e18bbb,34,21,18,12,31,25,0,34,17,18,8,18,15,21,38,18,30,11,16,23,15,37,18,10,33,35,35,16,17,35,5,33,18,25,25,17,22,23,24,23,33,11,18,29,25,20,26,19,16,23,15,34,17,24,25,20,28,16,31,18,3,12,18,14,16,15,15,20,14,24,11,15,34,5,9,35,14,30,6,20,24,27,26,23,33,22,22,16,28,16,12,29,17,39,26,10,26,22,32,21,25,24,33,21,12,21,11,20,25,27,16,24,20,14,8,19,25,14,18,17,14,11,17,11,9,30,22,10,17,18,19,26,18,12,23,34,23,11,10,13,28,10,12,17,21,19,17,17,30,30,5,8,11,20,16,13,29,26,7,10,21,23,28,11,17,25,23,16,24,30,28,20,21,18,27,15,25,27,22
5a0f0e693feafb4f684d1abb,24,5,26,27,21,15,39,0,11,12,11,16,23,6,29,8,23,21,17,25,18,29,21,22,17,33,27,5,26,24,15,17,24,17,41,7,21,33,31,10,31,25,7,16,24,9,25,13,3,22,22,28,25,13,40,9,12,17,20,12,19,27,24,16,30,10,25,14,29,13,15,30,18,20,11,27,24,30,21,14,34,21,28,23,48,11,14,10,12,30,24,26,7,29,27,15,27,28,46,28,10,16,34,14,22,34,26,34,32,32,23,8,10,26,14,3,13,24,18,18,21,21,12,23,9,26,20,23,11,2,21,27,10,12,30,18,24,20,11,15,29,18,18,7,9,3,33,7,21,36,21,24,27,4,26,28,23,30,23,23,22,30,15,26,15,26,24,28,14,31,29,27,36,25,15,8,20,32,6
5a0f100fe691ef1af5572637,19,14,26,27,23,16,34,27,0,7,12,6,17,16,23,9,20,15,24,15,24,25,16,24,24,23,24,7,20,20,16,25,20,14,39,9,11,27,22,11,22,20,9,25,14,7,15,11,13,11,15,19,26,15,34,11,20,12,22,8,18,26,15,12,24,4,23,13,24,11,13,25,27,19,7,20,18,20,20,12,28,13,35,13,43,9,11,6,21,25,20,16,8,25,16,16,17,20,40,19,17,13,29,10,15,28,21,29,23,22,17,16,11,22,14,11,23,17,8,13,12,14,2,20,13,16,10,19,6,11,11,17,6,17,21,26,31,14,10,16,19,18,13,8,7,11,31,8,19,26,19,24,25,12,19,23,14,21,21,19,29,20,14,21,5,16,14,30,9,21,18,19,30,23,20,4,11,22,14
5a0f12dc0525bc484398d1fb,23,9,23,24,19,13,35,22,7,0,7,12,19,10,29,6,20,17,17,21,18,26,16,20,20,30,25,3,22,23,12,21,20,15,37,5,18,29,27,11,28,21,6,18,21,9,22,9,5,19,18,26,22,12,36,8,16,13,18,9,16,24,20,12,26,7,21,10,25,12,11,26,22,17,7,26,20,27,18,10,30,20,28,20,44,10,11,7,16,26,20,23,5,29,24,12,24,24,42,24,12,13,30,11,18,30,22,30,28,28,19,11,8,23,10,6,16,19,15,14,17,16,9,19,7,24,17,19,7,6,17,24,7,11,26,22,24,16,7,11,26,15,14,5,9,6,29,5,18,32,17,21,23,7,22,24,21,27,19,19,22,26,16,22,11,22,21,26,13,28,26,23,32,21,14,5,18,28,9
