D_bar,5a18701954208204570dcb8e,5a191ca682c9a804497b7d6d,5a1932ab059ac522ef987ea7,5a1950d504030050aed5ef38,5a19654811ae4222e93bcbb5,5a196870172b442ddd1d0881,5a197a76c988512deb672d77,5a197dd07c73c915f5797cc2,5a1986d282c9a804497b7da5,5a198afc82c9a804497b7da6,5a198cb07c73c915f5797cc5,5a198f20ae845313c72e2c17,5a198fae82c9a804497b7da7,5a19934fb884b12dc5b501ff,5a1993ec11ae4222e93bcbb7,5a1995b8b884b12dc5b50200,5a19964a99ec112dd1215e0e,5a1997ecb0da9122e35a920f,5a1999fe6aa4043eeb298b94,5a199aac99ec112dd1215e0f,5a199bb5c988512deb672d79,5a199bf5c988512deb672d7a,5a199c0b649dcd3edb29ed7a,5a199c0ec988512deb672d7b,5a199c3db884b12dc5b50201,5a199d6204030050aed5ef42,5a199ec16659b21626305b68,5a199f3f99ec112dd1215e10,5a19a0b8ae845313c72e2c18,5a19a1eec988512deb672db9,5a19a27104030050aed5ef44,5a19a29ec988512deb672dba,5a19a2cd99ec112dd1215e11,5a19a35482c9a804497b7da9,5a19a3a199ec112dd1215e12,5a19a48d99ec112dd1215e13,5a19a53311ae4222e93bcbb9,5a19a53c059ac522ef987f06,5a19a545c988512deb672dbb,5a19a549b0da9122e35a9242,5a19a75b649dcd3edb29ed7b,5a19a8f7b0da9122e35a9243,5a19a9106659b21626305bd8,5a19a915649dcd3edb29ed7d,5a19a91654208204570dcbc4,5a19a9b911ae4222e93bcbba,5a19a9e454208204570dcbc5,5a19aa006aa4043eeb298d0d,5a19aa72c988512deb672dbc,5a19aa917c73c915f5797cc6,5a19aaf06aa4043eeb298d0f,5a19ab057c73c915f5797cc7,5a19ab1b6659b21626305d0f,5a19ac1382c9a804497b7e3a,5a19ac3eb0da9122e35a9245,5a19ac52649dcd3edb29ed7f,5a19ac796e5403163f332bf8,5a19acd0172b442ddd1d0884,5a19acd9b884b12dc5b50203,5a19ae366659b21626305d11,5a19aed5ae845313c72e2d20,5a19aef2059ac522ef987f08,5a19aefe04030050aed5ef4a,5a19af076659b21626305d12,5a19af0c99ec112dd1215e15,5a19af6a11ae4222e93bcbbb,5a19afc9172b442ddd1d0885,5a19b0036e5403163f332bfa,5a19b03182c9a804497b7e3b,5a19b08fb0da9122e35a9247,5a19b0d604030050aed5ef4b,5a19b1edae845313c72e2d21,5a19b2b411ae4222e93bcbbc,5a19b2c5ae845313c72e2d22,5a19b2c8c988512deb672dc1,5a19b2e07c73c915f5797cca,5a19b2fb6e5403163f332bfc,5a19b3387c73c915f5797ccb,5a19b36204030050aed5ef4c,5a19b3b5b0da9122e35a9248,5a19b3d754208204570dcbc9,5a19b42882c9a804497b7e3f,5a19b46fb884b12dc5b50205,5a19b47b11ae4222e93bcbbf,5a19b4a6059ac522ef987f0c,5a19b4bc54208204570dcbca,5a19b4dd99ec112dd1215e18,5a19b4e6b0da9122e35a924a,5a19b5016e5403163f332bfd,5a19b51e172b442ddd1d0888,5a19b5c999ec112dd1215e1b,5a19b6226e5403163f332bfe,5a19b63711ae4222e93bcbc0,5a19b6386aa4043eeb298d12,5a19b6506aa4043eeb298d13,5a19b6b811ae4222e93bcbc1,5a19b6c6c988512deb672dc3,5a19b81282c9a804497b7e40,5a19b850b884b12dc5b50206,5a19b857c988512deb672dc4,5a19b87eae845313c72e2d26,5a19b884ae845313c72e2d27,5a19b8d399ec112dd1215e1d,5a19b8e36e5403163f332bff,5a19b92f7c73c915f5797cd0,5a19b93cb884b12dc5b50207,5a19b94b99ec112dd1215e1e,5a19b9746e5403163f332c02,5a19b9a2b0da9122e35a924c,5a19b9c46659b21626305d14,5a19ba3c7c73c915f5797cd1,5a19ba4799ec112dd1215e1f,5a19ba4c04030050aed5ef50,5a19ba4f82c9a804497b7e41,5a19ba4fc988512deb672dc6,5a19ba73059ac522ef987f11,5a19bab0c988512deb672dc7,5a19babc11ae4222e93bcbc3,5a19bafb7c73c915f5797cd2,5a19bb21059ac522ef987f12,5a19bb4054208204570dcbf4,5a19bb4cae845313c72e2d30,5a19bc3354208204570dcbf7,5a19bc4411ae4222e93bcbc4,5a19bc9d6659b21626305d16,5a19bcb304030050aed5ef52,5a19bcfc54208204570dcbf9,5a19bd2004030050aed5ef53,5a19bd466659b21626305d17,5a19bd91ae845313c72e2d31,5a19bdaf6659b21626305d19,5a19bdb854208204570dcbfa,5a19bdf26aa4043eeb298d1e,5a19be1204030050aed5ef54,5a19be4854208204570dcbfb,5a19be6682c9a804497b7e45,5a19bec46659b21626305d1a,5a19bef299ec112dd1215e22,5a19befd99ec112dd1215e23,5a19bf0ec988512deb672dde,5a19bf1811ae4222e93bcbc6,5a19bf3e54208204570dcbfc,5a19bf896e5403163f332c22,5a19bfbe6659b21626305d1b,5a19bfd0b0da9122e35a924f,5a19bfd7b0da9122e35a9250,5a19c03f6659b21626305d1c,5a19c0cdc988512deb672de0,5a19c0d399ec112dd1215e24,5a19c0d754208204570dcbfe,5a19c0deb884b12dc5b5020c,5a19c14db884b12dc5b5020e,5a19c17d99ec112dd1215e27,5a19c181172b442ddd1d08a7,5a19c1b7649dcd3edb29ed8a,5a19c1c67c73c915f5797cd6,5a19c1c7b884b12dc5b50210,5a19c20bc988512deb672de2,5a19c25011ae4222e93bcbc9,5a19c25404030050aed5ef5b,5a19c291649dcd3edb29ed8b,5a19c2ff7c73c915f5797cd7,5a19c30bb884b12dc5b50211,5a19c324c988512deb672de3,5a19c36a54208204570dcbff,5a19c3d2649dcd3edb29ed8c,5a19c403b884b12dc5b50213,5a19c41db884b12dc5b50214,5a19c45cae845313c72e2d32,5a19c495b884b12dc5b50216,5a19c51199ec112dd1215e28,5a19c56804030050aed5ef5d,5a19c5d66e5403163f332c24,5a19c5ebb0da9122e35a9251,5a19c62db884b12dc5b50217,5a19c66404030050aed5ef60,5a19c7bc059ac522ef987f1b,5a19c86eb0da9122e35a9252,5a19c8a8649dcd3edb29ed8d,5a19c8e4ae845313c72e2d33,5a19ca25b884b12dc5b50219,5a19ca6904030050aed5ef63,5a19cadc99ec112dd1215e29,5a19caf054208204570dcc00,5a19cc92ae845313c72e2d34,5a19cccf11ae4222e93bcbd3,5a19ccd26659b21626305d20,5a19cea604030050aed5ef6a,5a19cecb6659b21626305d21,5a19cfab6e5403163f332c28,5a19d0a2059ac522ef987f2c,5a19d146059ac522ef987f2e,5a19d157c988512deb672de8,5a19d19f99ec112dd1215e2b,5a19d20d82c9a804497b7e49,5a19d21099ec112dd1215e2d,5a19d22f649dcd3edb29ed92,5a19d31099ec112dd1215e2e,5a19d33854208204570dcc02,5a19d41911ae4222e93bcbdc,5a19d4a982c9a804497b7e4b,5a19d5f454208204570dcc05,5a19d620b884b12dc5b5022d,5a19d66f059ac522ef987f30,5a19d6f76659b21626305d2b
5a18701954208204570dcb8e,0,27,32,17,37,28,40,16,25,29,31,26,40,17,11,35,30,34,30,24,34,26,23,29,40,36,36,31,27,23,18,39,9,32,29,11,19,35,28,41,27,17,16,37,40,29,26,40,12,21,43,24,31,29,41,15,31,18,35,26,39,18,32,46,14,42,43,26,30,29,32,29,26,23,35,35,18,39,19,32,27,20,14,31,31,16,31,34,33,29,39,42,14,17,33,34,33,50,29,23,20,40,16,21,29,23,33,33,18,31,36,44,15,37,16,14,17,31,35,20,34,22,22,31,11,29,29,28,25,17,12,15,31,31,25,42,47,15,32,30,34,17,41,19,45,41,26,26,20,21,24,10,21,33,16,17,41,16,11,17,39,21,14,13,24,29,15,33,38,28,24,42,34,32,15,26,17,22,26,34,26,30,38,26,25,22,9,23,33,17,38,22,36,40,45,33,22,20,44,35,28,14,32,20,20
5a191ca682c9a804497b7d6d,25,0,27,16,23,26,22,13,23,10,13,10,22,7,18,18,18,31,13,21,22,13,16,26,37,17,30,20,23,19,26,21,27,14,18,19,16,22,24,23,24,12,16,21,26,11,9,24,11,29,37,22,26,24,31,13,13,11,31,22,27,16,25,31,9,30,24,16,16,11,13,20,16,31,16,18,11,21,19,16,23,17,27,29,21,13,12,15,30,18,26,25,11,16,25,16,17,36,19,19,18,22,14,20,11,10,14,20,15,12,19,41,13,19,24,13,5,20,16,12,15,12,16,22,24,12,25,11,10,8,30,13,13,17,12,25,30,10,29,14,17,15,37,16,26,22,16,22,6,18,6,28,18,16,14,15,23,29,11,16,20,12,11,20,16,12,14,22,24,11,16,23,23,27,14,13,14,12,14,15,7,13,20,9,16,21,17,14,16,25,20,12,30,21,28,29,9,17,32,29,25,10,16,10,2
5a1932ab059ac522ef987ea7,32,30,0,32,25,32,33,19,29,27,24,18,33,30,27,27,8,23,37,43,21,37,24,32,28,29,10,26,14,31,31,20,42,26,24,37,22,11,36,27,30,25,32,20,13,22,17,22,27,34,18,28,40,30,26,34,25,34,36,27,17,22,6,18,22,33,35,39,19,22,26,30,29,36,28,26,18,33,35,23,14,23,35,52,27,19,24,27,28,12,14,36,23,24,16,27,16,23,42,24,23,33,20,28,22,34,26,30,36,24,28,32,19,34,33,20,26,9,28,19,32,35,30,27,32,20,23,20,33,29,44,19,24,20,35,33,38,24,19,21,28,21,28,22,37,34,40,35,23,17,27,42,24,34,26,20,34,35,28,32,32,17,23,30,39,24,22,11,29,21,39,39,19,40,30,22,20,29,37,27,28,23,31,19,26,32,25,19,24,35,31,25,10,33,29,20,24,23,40,10,16,22,15,23,23
5a1950d504030050aed5ef38,26,26,30,0,27,27,26,15,24,14,18,15,27,2,18,23,23,34,16,16,26,11,19,28,39,21,34,24,26,20,26,26,24,19,22,15,18,27,25,27,26,13,15,26,31,16,14,29,10,29,41,23,27,26,35,8,17,7,33,24,32,17,29,36,10,34,28,13,21,16,18,23,18,31,20,23,14,25,18,21,26,19,25,24,25,15,16,19,32,22,31,30,11,17,29,20,22,41,17,21,19,25,15,21,16,8,18,24,11,16,24,44,14,21,23,14,4,24,20,15,19,8,17,25,22,17,28,16,9,6,27,14,18,22,10,30,35,11,32,19,22,16,40,18,30,26,13,22,10,20,11,24,19,18,15,16,26,28,9,14,25,15,11,19,13,17,15,26,29,15,13,27,27,27,12,17,16,14,11,19,11,17,25,13,19,21,16,17,21,24,23,15,33,25,33,32,12,19,36,33,28,11,21,13,7
5a19654811ae4222e93bcbb5,34,32,28,33,0,33,30,21,30,25,22,16,31,29,29,25,7,27,36,43,21,36,25,34,31,27,15,26,18,33,34,16,44,24,24,38,24,7,37,23,32,26,33,17,8,20,16,18,28,37,22,29,41,31,27,35,22,34,37,28,16,23,10,14,23,33,32,38,18,20,23,30,29,39,25,24,19,30,36,21,17,25,37,52,28,21,21,24,30,12,11,35,25,25,19,25,13,18,40,25,25,30,21,29,19,33,23,29,36,21,26,35,20,31,35,22,26,9,25,20,30,35,31,28,35,18,26,18,32,29,46,20,22,19,34,31,36,25,22,19,27,22,32,24,34,31,39,36,23,19,26,44,26,31,27,22,30,38,29,33,30,18,24,32,38,22,24,10,28,19,38,37,19,41,31,22,22,29,36,24,27,22,29,17,26,34,27,20,22,37,27,25,15,29,26,24,24,25,40,14,20,23,12,23,22
5a196870172b442ddd1d0881,28,26,26,22,18,0,17,15,25,8,7,4,15,13,22,12,13,30,20,28,18,19,18,28,35,13,26,19,22,23,29,15,33,8,17,25,18,16,28,17,26,16,22,14,20,5,3,17,17,32,34,24,30,26,27,20,8,18,32,23,22,18,22,25,13,27,20,21,11,4,9,21,18,34,12,11,12,16,24,9,21,19,31,35,21,15,8,10,29,13,20,19,15,19,22,9,10,30,23,20,19,18,16,23,5,16,10,19,22,8,13,39,15,17,28,15,11,15,12,13,13,19,20,21,28,6,25,5,15,15,36,15,7,12,18,19,23,14,28,7,11,17,36,18,22,18,22,26,9,18,11,34,20,16,18,16,19,33,17,21,16,11,14,25,21,7,17,17,20,4,21,21,20,31,19,11,16,17,19,11,10,6,14,2,17,24,21,13,9,29,16,14,26,18,22,28,11,19,30,26,24,13,10,13,7
5a197a76c988512deb672d77,38,37,39,28,31,39,0,26,36,11,18,17,27,15,31,26,27,44,25,29,31,17,29,39,48,16,40,32,35,32,39,23,38,19,30,29,29,29,37,22,37,25,28,26,31,16,17,28,23,42,47,35,39,37,41,21,12,16,43,34,36,29,35,36,22,40,18,14,25,16,12,33,29,44,15,25,24,20,31,22,35,30,39,30,33,26,11,14,42,27,33,33,23,29,36,21,22,41,12,31,31,15,27,33,16,14,13,31,25,10,27,53,26,9,37,26,16,28,14,25,16,20,29,34,36,19,38,19,16,20,40,26,18,26,16,32,37,23,41,20,25,28,49,29,20,21,17,34,19,30,19,38,31,5,27,28,16,42,23,28,19,24,24,33,14,20,27,30,33,15,14,20,33,40,26,24,27,25,18,14,15,18,25,14,29,34,30,26,23,37,13,25,40,15,32,41,21,30,43,39,37,23,21,23,15
5a197dd07c73c915f5797cc2,14,13,19,14,24,15,30,0,12,20,20,14,29,15,9,23,16,22,24,26,21,23,10,16,28,26,23,18,15,13,16,26,23,22,16,18,5,22,18,30,14,7,13,25,27,18,14,27,9,19,31,11,22,15,28,17,22,18,22,12,25,5,19,32,4,29,34,25,18,18,22,16,15,21,25,23,5,30,16,21,14,7,18,35,18,3,21,24,20,15,25,31,5,5,19,23,21,37,29,10,7,31,3,9,18,20,23,21,18,21,24,32,2,29,15,2,11,18,25,7,25,20,13,18,15,17,16,16,20,13,26,2,20,19,22,30,35,6,21,19,23,4,28,6,36,31,25,17,10,9,15,23,7,27,7,4,32,20,9,14,29,8,5,12,25,18,4,20,25,18,25,34,20,23,11,14,3,14,23,24,18,19,27,16,12,14,8,10,21,16,29,11,23,31,33,21,12,7,32,23,16,4,20,9,11
5a1986d282c9a804497b7da5,24,23,20,26,28,25,37,12,0,28,26,20,35,26,17,29,14,13,35,38,23,34,20,25,20,33,14,24,7,25,21,28,32,28,22,30,15,19,30,33,23,19,26,27,24,25,19,29,21,24,21,21,34,23,28,29,28,30,30,21,23,15,9,29,16,33,40,37,22,24,29,26,25,26,32,28,13,36,28,26,6,16,25,48,24,12,28,31,20,15,23,38,18,16,16,29,23,34,41,18,16,38,13,20,24,32,30,29,30,27,30,24,12,37,23,13,23,16,32,15,34,32,25,25,22,23,16,22,31,25,35,12,27,23,33,36,40,18,10,24,30,14,20,15,42,38,37,29,20,9,25,33,17,36,19,13,39,24,21,26,36,15,17,21,37,25,15,17,30,24,37,42,21,35,23,21,13,25,35,31,28,26,34,22,22,26,16,17,26,26,35,21,14,37,35,12,22,16,39,13,8,16,22,19,21
5a198afc82c9a804497b7da6,33,31,32,26,23,33,12,21,30,0,9,9,18,15,27,18,18,36,22,30,23,19,23,33,41,8,31,24,28,28,35,14,37,10,23,28,23,20,33,14,31,21,26,16,22,7,8,19,21,38,39,29,35,31,32,22,3,19,37,28,27,23,27,27,18,32,15,20,16,7,4,27,23,40,7,16,18,11,28,14,27,24,36,35,26,20,3,6,35,19,24,25,19,24,28,12,12,32,21,25,25,13,21,28,7,16,5,24,25,3,19,45,20,11,33,20,14,19,7,19,10,20,25,27,33,10,30,11,16,18,40,20,9,17,18,23,28,19,33,12,17,22,41,23,17,13,21,30,14,24,14,37,25,11,23,22,13,38,21,25,11,17,19,29,20,12,22,21,25,7,20,16,25,36,23,17,21,21,19,6,12,10,16,5,23,29,26,19,14,34,10,19,31,12,23,34,16,24,36,31,29,18,12,18,10
